序号,标题,作者,文章类型,年份,期数,引用格式
1,温州方言的介趋结构,姜淑珍、史文磊,句法学和语义学,2020,第1期,姜淑珍、史文磊.温州方言的介趋结构[J].澳门语言学刊2020年第1期.
2,汉语情态动词结构的移位现象研究,胡波,句法学和语义学,2020,第1期,"胡波.汉语情态动词结构的移位现象研究[J].澳门语言学刊,2020年第1期."
3,句子：三个平面的语法研究的对象,施关淦,句法学和语义学,1998,总第6/7期,"施关淦.句子：三个平面的语法研究的对象[J].澳门语言学刊,1998年总第6/7期."
4,现代汉语形容词的体及其形态化历程,张国宪,句法学和语义学,1998,总第6/7期,"张国宪.现代汉语形容词的体及其形态化历程[J].澳门语言学刊,1998年总第6/7期."
5,谈补语,陆世光,句法学和语义学,1998,总第6/7期,"陆世光.谈补语[J].澳门语言学刊,1998年总第6/7期."
6,我对“要”的结构和含义之管见,欧绍华,句法学和语义学,2001,总第14/15 期,"欧绍华.我对“要”的结构和含义之管见[J].澳门语言学刊,2001年总第14/15 期."
7,谈谈方言动词“整”,张万有,句法学和语义学,2001,总第14/15 期,"张万有.谈谈方言动词“整”[J].澳门语言学刊,2001年总第14/15 期."
8,归纳、演绎与句子的语义成分研究——希杰师语言观与方法论学习心得之一,徐昌火,句法学和语义学,2002,总第16/17 期,"徐昌火.归纳、演绎与句子的语义成分研究——希杰师语言观与方法论学习心得之一[J].澳门语言学刊,2002年总第16/17 期."
9,“妖魔化”能带宾语吗？,侯昌硕,句法学和语义学,2003,总第20/21期,"侯昌硕.“妖魔化”能带宾语吗？[J].澳门语言学刊,2003年总第20/21期."
10,说“道歉”,程祥徽,句法学和语义学,2003,总第20/21期,"程祥徽.说“道歉”[J].澳门语言学刊,2003年总第20/21期."
11,论几个现代语言学流派的功能观,王德福,句法学和语义学,2003,总第22/23 期,"王德福.论几个现代语言学流派的功能观[J].澳门语言学刊,2003年总第22/23 期."
12,温州话动词重叠式结构与功能分析,池昌海、王纯,句法学和语义学,2004,总第26 期,"池昌海、王纯.温州话动词重叠式结构与功能分析[J].澳门语言学刊,2004年总第26 期."
13,疑问句末语气词“呢”的“句管控”考察,沈威,句法学和语义学,2008,总第31/32 期,"沈威.疑问句末语气词“呢”的“句管控”考察[J].澳门语言学刊,2008年总第31/32 期."
14,现代汉语的时量成分与时量系统,杨世铁,句法学和语义学,2008,总第31/32 期,"杨世铁.现代汉语的时量成分与时量系统[J].澳门语言学刊,2008年总第31/32 期."
15,21 世纪汉语语法研究的宏观思考,邵敬敏,句法学和语义学,2009,第1期,"邵敬敏.21 世纪汉语语法研究的宏观思考[J].澳门语言学刊,2009年第1期."
16,现代汉语量词研究,李行健、余志鸿,句法学和语义学,2009,第1期,"李行健、余志鸿.现代汉语量词研究[J].澳门语言学刊,2009年第1期."
17,河北魏县方言中的三种结构,吴继章,句法学和语义学,2009,第1期,"吴继章.河北魏县方言中的三种结构[J].澳门语言学刊,2009年第1期."
18,反义关系的形容词在叠用上的不对称性,郑远汉,句法学和语义学,2009,第2期,"郑远汉.反义关系的形容词在叠用上的不对称性[J].澳门语言学刊,2009年第2期."
19,从构式“爱谁谁”看句法异质现象,陈满华,句法学和语义学,2009,第2期,"陈满华.从构式“爱谁谁”看句法异质现象[J].澳门语言学刊,2009年第2期."
20,同位结构“我老人家”的认知和语用分析,李洁,句法学和语义学,2009,第2期,"李洁.同位结构“我老人家”的认知和语用分析[J].澳门语言学刊,2009年第2期."
21,以单线递进句为论柄点评事实发掘与研究深化,邢福义,句法学和语义学,2010,第1期,"邢福义.以单线递进句为论柄点评事实发掘与研究深化[J].澳门语言学刊,2010年第1期."
22,“打”字意义纷繁原因试析,黄高飞,句法学和语义学,2010,第1期,"黄高飞.“打”字意义纷繁原因试析[J].澳门语言学刊,2010年第1期."
